151,2681
82,2601
35,2516
0,2359
8,2245
20,2198
85,2068
155,1989
255,1901
357,1814
460,1729
565,1646
671,1565
779,1485
887,1408
998,1332
1109,1258
1222,1186
1336,1116
1451,1048
1567,982
1685,918
1803,856
1923,796
2043,739
2165,683
2287,629
2410,577
2535,528
2660,481
2785,435
2912,392
3040,352
3168,313
3297,276
3426,242
3556,210
3687,180
3818,153
3950,127
4082,104
4214,83
4347,65
4480,49
4613,35
4747,23
4881,14
5014,7
5148,2
5282,0
5416,0
5550,2
5684,6
5818,13
5952,22
6085,33
6219,47
6352,63
6484,81
6617,102
6749,125
6881,150
7012,177
7142,207
7273,239
7402,273
7531,309
7660,347
7787,388
7914,431
8040,476
8166,523
8290,573
8414,624
8537,678
8659,734
8780,792
8900,851
9018,913
9136,977
9253,1043
9363,1113
9446,1176
9525,1244
9616,1337
9683,1417
9729,1480
9786,1568
9848,1682
9891,1777
9900,1801
9926,1875
9934,1900
9949,1950
9955,1975
9961,2001
9967,2026
9972,2052
9977,2077
9981,2103
9985,2129
9988,2155
9991,2181
9994,2206
9996,2232
9997,2258
9999,2285
9999,2311
9999,2337
9999,2363
9999,2389
9997,2415
9996,2441
9994,2467
9991,2493
9988,2519
9985,2544
9981,2570
9977,2596
9972,2622
9967,2647
9961,2673
9955,2698
9949,2723
9942,2748
9934,2773
9926,2798
9918,2823
9909,2847
9900,2872
9891,2896
9881,2920
9870,2944
9860,2968
9848,2991
9837,3015
9825,3038
9812,3061
9799,3083
9786,3106
9773,3128
9759,3150
9744,3172
9729,3193
9714,3214
9699,3235
9683,3256
9667,3276
9650,3297
9633,3316
9616,3336
9598,3355
9580,3374
9562,3393
9544,3411
9525,3429
9505,3446
9486,3464
9466,3481
9446,3497
9426,3513
9405,3529
9384,3545
9363,3560
9341,3575
9319,3589
9298,3603
9275,3617
9253,3630
9135,3697
9015,3762
8895,3824
8773,3885
8651,3943
8527,4000
8403,4054
8277,4106
8151,4156
8024,4203
7896,4249
7767,4292
7638,4333
7508,4371
7377,4407
7245,4442
7113,4473
6981,4503
6848,4530
6714,4555
6580,4577
6446,4597
6312,4615
6177,4631
6042,4644
5906,4655
5771,4663
5635,4669
5499,4673
5364,4674
5228,4673
5092,4670
4956,4664
4821,4656
4686,4645
4550,4632
4415,4617
4281,4599
4147,4580
4013,4557
3879,4533
3746,4506
3613,4477
3481,4445
3350,4411
3219,4375
3089,4337
2959,4296
2830,4253
2702,4208
2575,4161
2449,4111
2323,4060
2199,4006
2075,3950
1952,3891
1831,3831
1710,3768
1591,3704
1472,3637
1355,3569
1239,3498
1125,3425
1011,3350
899,3274
789,3195
679,3115
571,3032
465,2948
360,2862
257,2774

